Name,Price,Overall Rating,Total no of rating,Total no of reviews,5 star rating,4 star rating,3 star rating,2 star rating,1 star rating,Camera Rating,Battery Rating,Display Rating,Design Rating,Variant,Display,Camera,Offers
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,670",4.4,"(88,862)","6,219 Reviews","57,463","18,556","5,546","2,143","5,154",4.1,4.2,4.2,4.2,6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2326 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"OnePlus 8T 5G (Aquamarine Green, 128 GB)","₹29,990",4.4,(168),16 Reviews,118,24,9,2,15,4.1,4.2,4.4,4.2,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Display,48MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"OnePlus 8T 5G (Lunar Silver, 128 GB)","₹29,990",4.4,(168),16 Reviews,118,24,9,2,15,4.1,4.2,4.4,4.2,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Display,48MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3844 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Redmi 9A Sport (Coral Green, 32 GB)","₹8,448",4.2,"(7,006)",498 Reviews,"3,929","1,742",703,219,413,3.6,4.1,4.0,3.9,3 GB RAM | 32 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"POCO C51 (Power Black, 64 GB)","₹6,499",4.2,"(37,049)","1,815 Reviews","22,421","6,841","3,124","1,350","3,313",3.3,3.9,3.7,3.7,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3500 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"realme C53 (Champion Gold, 64 GB)","₹10,999",4.6,"(5,840)",229 Reviews,"4,644",658,207,101,230,4.0,4.2,4.0,4.4,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹19,999",4.3,"(25,886)","1,893 Reviews","16,312","5,692","1,603",609,"1,670",4.1,4.1,4.2,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,₹500 Off On Selected Bank Credit and Debit Card Transactions.,₹500 Off On Selected Bank Credit and Debit Card Transactions.,Get extra ₹3000 off (price inclusive of cashback/coupon)"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹15,999",4.3,"(21,767)","1,258 Reviews","14,309","4,078","1,408",592,"1,380",3.9,4.1,4.2,4.3,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"Mi 11 Lite (Vinyl Black, 128 GB)","₹21,999",4.2,"(13,163)","1,430 Reviews","7,730","2,946","1,018",420,"1,049",3.8,3.8,4.1,3.7,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.64 cm (6.55 inch) Full HD+ Display,64MP + 8MP + 5MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Spotify Premium - 12M at ₹699,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"APPLE iPhone 14 (Midnight, 128 GB)","₹69,999",4.6,"(43,738)","1,679 Reviews","35,612","4,598","1,119",621,"1,788",4.6,4.4,4.6,4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,₹250 Instant Discount on ICICI Bank Credit Card Non-EMI Transactions,₹250 off on Kotak Bank Credit Card Non-EMI transactions,Get extra ₹9901 off (price inclusive of cashback/coupon)"
